UserID	ItemID	rating
149	1412672	5
149	8950	5
150	52241	5
151	52241	2
151	1412940	4
152	52241	5
153	52241	3
154	52241	5
155	52241	5
156	52241	3
157	52241	5
157	16702	4
158	52241	5
159	52241	5
159	16702	5
159	61402	5
159	51740	5
159	61906	5
159	144738	5
159	1412675	5
159	136018	5
159	1412662	5
159	61708	5
159	1410446	5
159	67932	5
159	1412672	5
159	67739	5
159	16695	5
159	16671	5
159	16685	5
159	61589	5
159	1511958	5
159	1412940	5
159	1829376	5
159	140919	5
159	16012	5
159	124736	5
159	8960	5
159	113594	5
159	8950	5
160	52241	5
161	52241	5
161	16702	5
161	61403	5
161	45025	5
161	26931	5
161	124739	5
161	135052	5
161	45129	5
161	16012	5
161	124736	5
161	8960	5
161	8950	5
162	52241	4
163	52241	5
164	52241	4
165	52241	5
165	16702	5
165	61402	5
166	52241	1
167	52241	4
167	16695	3
168	52241	5
169	52241	5
170	52241	5
171	52241	5
172	52241	5
173	52241	5
173	67739	5
173	1708558	5
173	8960	5
174	52241	5
174	16702	5
175	52241	5
175	67739	5
175	16695	5
176	52241	4
176	16702	4
176	61403	4
176	11113	4
176	2716478	3
176	1412681	4
176	70543	4
176	133301	4
176	61772	4
176	1412672	4
176	16695	4
176	1408330	4
176	124771	3
176	140919	4
176	8960	4
177	52241	5
177	1410446	5
177	141373	5
177	8950	5
178	52241	5
179	52241	5
180	52241	5
181	52241	4
182	52241	5
183	52241	5
183	16702	3
184	52241	5
185	52241	5
185	16702	5
185	11113	5
185	129090	5
185	51632	4
185	51640	5
185	61906	4
185	1412662	4
185	61708	5
185	1410446	5
185	1702901	5
185	67932	5
185	1412672	4
185	1933092	4
185	67933	4
185	67739	4
185	1713065	5
185	16695	4
185	16671	4
185	1815327	4
186	52241	4
186	16702	4
186	51755	4
186	51635	4
186	11113	4
186	51633	3
186	51637	4
186	129090	4
186	51636	4
186	51632	4
186	51740	4
186	51640	5
186	51753	4
186	68014	4
186	133302	2
186	133301	2
186	61741	2
186	61708	4
186	61697	1
186	67932	3
186	67933	3
186	67739	4
186	52246	3
186	1407706	4
186	52140	2
186	16695	4
186	134788	4
186	16666	4
186	51983	4
186	1413293	4
186	1408330	4
186	1408415	4
186	140865	4
186	124771	3
186	16669	4
186	16671	2
186	16685	3
186	51921	4
186	51949	4
186	52509	4
186	52503	1
186	52423	5
186	140919	4
186	70703	4
186	16021	4
186	45133	4
186	135052	4
186	67935	4
186	45129	3
186	16010	4
186	16012	5
186	135051	4
186	45140	4
186	140868	3
186	140867	4
186	8971	4
186	8953	4
186	8964	3
186	8960	4
186	136017	3
186	141373	4
186	8955	4
186	8959	3
186	8954	3
187	52241	3
187	16702	4
188	52241	1
189	52241	4
189	16702	4
190	52241	4
191	52241	3
192	52241	3
192	67739	3
193	52241	4
193	61906	4
194	52241	4
194	133301	4
194	141373	3
195	52241	4
195	61403	5
195	1412727	5
195	61402	5
195	52423	5
195	26931	5
195	4690344	5
195	140919	5
195	1727588	5
195	8960	5
196	52241	3
196	16702	4
196	16695	4
197	52241	3
198	52241	3
198	16702	4
198	61403	4
198	61402	4
198	51633	4
198	51632	4
198	51640	5
198	68014	4
198	70496	4
198	61781	4
198	136018	4
198	70543	3
198	1412141	4
198	70484	4
198	140866	4
198	1412662	3
198	61708	4
198	1410446	3
198	5073094	4
198	1407706	3
198	16666	3
198	144734	4
198	1704156	3
198	1413293	3
198	140865	4
198	124771	4
198	69567	4
198	1511958	4
198	61584	4
198	1412940	4
198	1412726	3
198	1507853	4
198	1680166	4
198	110153	5
198	1701408	4
198	1908811	4
198	70703	4
198	135052	3
198	45129	3
198	16012	5
198	124736	4
198	141373	4
198	8954	4
199	52241	3
200	52241	3
201	52241	2
202	52241	0
202	16702	0
203	52241	0
204	52241	1
205	52241	2
206	16702	4
206	61906	4
206	1412681	4
206	70543	4
206	133301	4
206	61708	4
206	45133	4
206	16012	4
206	8950	4
207	16702	5
207	61904	5
208	16702	5
209	16702	5
209	61402	4
209	61708	5
209	1410446	5
209	1407706	4
209	16685	5
209	52423	5
209	140919	4
209	124736	4
210	16702	3
211	16702	3
212	16702	4
212	1410446	3
212	67932	4
212	67933	4
212	67739	4
212	140919	4
212	124736	4
213	16702	5
214	16702	3
214	61403	3
214	1412727	3
214	61402	4
214	11113	3
214	51740	3
214	51640	3
214	68014	3
214	68047	3
214	1412693	3
214	68017	3
214	124771	3
214	16671	3
214	16685	3
214	52423	4
214	70713	3
214	110153	4
214	1701408	4
214	26931	3
214	140919	3
214	70703	4
214	16012	3
214	8960	3
215	16702	5
216	16702	5
216	61697	4
216	1410446	5
216	1815327	5
216	140919	5
217	16702	5
217	61708	5
218	16702	5
219	16702	5
219	51755	5
219	51635	5
219	129090	5
219	61904	5
219	1697637	5
219	61906	5
219	68015	5
219	1412693	5
219	68017	5
219	1407373	5
219	1971768	5
219	1685191	5
219	70543	5
219	61886	5
219	1702901	5
219	67933	5
219	67739	5
219	16666	5
219	144734	5
219	124771	5
219	69567	5
219	61589	5
219	61584	5
219	52503	5
